,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,Whitianga,89,NZ,1559845637,96,-36.83,175.7,52.0,1.01
278,Volnovakha,0,UA,1559845639,75,47.6,37.5,64.49,6.78
279,Vilyuysk,0,RU,1559845640,66,63.75,121.63,53.87,3.98
280,Kropotkin,8,RU,1559845641,49,45.43,40.58,70.79,16.53
281,Nizhniy Tsasuchey,96,RU,1559845642,70,50.52,115.13,51.35,7.94
282,Metairie,90,US,1559845643,94,29.99,-90.15,82.99,27.51
283,Comapa,100,MX,1559845644,51,19.16,-96.89,83.03,4.27
284,Auray,0,FR,1559845646,62,47.67,-2.99,61.0,5.82
285,Foki,49,RU,1559845647,70,56.69,54.35,56.21,12.35
286,Marystown,100,CA,1559845648,96,47.17,-55.16,48.29,7.27
287,Port Hardy,75,CA,1559845649,71,50.7,-127.42,51.8,5.82
288,Gat,0,SN,1559845650,61,14.69,-16.54,78.8,12.75
289,Balabac,78,PH,1559845652,77,7.99,117.06,84.65,16.33
290,Sai Buri,100,TH,1559845653,98,6.7,101.62,74.39,2.13
291,Changji,85,CN,1559845654,76,32.07,116.17,71.51,2.33
292,Anda,100,CN,1559845655,49,46.41,125.33,67.73,7.49
293,George,100,NG,1559845418,81,6.63,3.35,81.23,11.59
294,Coihaique,75,CL,1559845657,70,-45.58,-72.07,46.4,8.05
295,Sambava,10,MG,1559845659,98,-14.27,50.17,66.83,4.23
296,Shush,71,RU,1559845660,63,55.6,89.45,58.37,10.13
297,Seoul,90,KR,1559845545,106,37.57,126.98,66.2,1.12
298,Latung,82,ID,1559845662,92,-8.45,120.42,72.41,2.55
299,Broome,20,GB,1559845663,42,52.47,1.45,66.99,11.41
300,Hamilton,75,BM,1559845665,78,32.3,-64.78,77.0,12.75
301,Porto Nacional,20,BR,1559845666,29,-10.7,-48.41,91.4,9.17
302,Ayan,58,TR,1559845667,80,40.67,33.6,57.83,4.74
303,Porto Velho,75,BR,1559845668,70,-8.75,-63.87,87.8,4.7
304,Shiraz,40,IR,1559845390,12,29.61,52.54,86.0,9.17
305,Bilma,67,NE,1559845671,12,18.69,12.92,102.65,7.58
306,Saint George,40,GR,1559845672,50,39.45,22.34,77.0,9.17
307,Caravelas,38,BR,1559845493,58,-17.73,-39.27,78.17,10.47
308,Altamira,40,BR,1559845675,59,-3.2,-52.21,91.4,5.82
309,Weston,40,US,1559845676,47,41.2,-73.38,84.0,9.17
310,Omsukchan,46,RU,1559845678,81,62.53,155.8,39.47,5.64
311,Ostroda,0,PL,1559845679,69,53.7,19.96,77.0,4.7
312,Isabela,37,PH,1559845680,77,10.2,122.99,82.13,5.82
313,Minab,0,IR,1559845681,55,27.15,57.07,91.4,4.7
314,Chokurdakh,28,RU,1559845682,62,70.62,147.9,38.57,8.63
315,Mastic Beach,1,US,1559845684,51,40.77,-72.85,84.0,12.75
316,Dingle,32,PH,1559845685,84,11.0,122.67,77.81,7.4
317,Nizhnevartovsk,20,RU,1559845686,42,60.93,76.58,68.0,13.42
318,San Rafael,0,AR,1559845688,31,-34.61,-68.33,61.07,8.9
319,Kutum,33,SD,1559845689,29,14.2,24.66,87.53,13.73
320,Port-Gentil,75,GA,1559845690,78,-0.72,8.78,78.8,9.17
321,Leticia,75,CO,1559845691,100,-4.21,-69.94,78.8,3.36
322,Zeya,11,RU,1559845693,70,53.74,127.27,54.59,3.15
323,Tamale,4,GH,1559845694,29,9.4,-0.84,100.31,3.71
324,Salalah,20,OM,1559845695,74,17.01,54.1,87.8,4.7
325,Vila Franca do Campo,75,PT,1559845642,77,37.72,-25.43,64.4,10.29
326,Belle Fourche,40,US,1559845697,54,44.67,-103.85,82.99,13.87
327,Kukuna,75,SL,1559845699,70,8.64,-12.57,84.2,8.05
328,Sao Filipe,0,CV,1559845700,81,14.9,-24.5,74.57,19.19
329,Soskovo,0,RU,1559845701,81,52.75,35.39,64.13,6.11
330,Faanui,9,PF,1559845702,78,-16.48,-151.75,82.31,17.09
331,Conway,40,US,1559845546,74,33.84,-79.05,86.0,12.75
332,Calamar,35,CO,1559845705,77,1.96,-72.65,80.33,5.84
333,Bundaberg,99,AU,1559845706,77,-24.87,152.35,59.0,6.93
334,Qiongshan,0,CN,1559845707,83,20.01,110.35,82.4,6.71
335,Talas,0,TR,1559845708,25,38.69,35.55,77.0,10.29
336,Zhigansk,0,RU,1559845710,55,66.77,123.37,51.89,0.2
337,Victoria,75,BN,1559845711,94,5.28,115.24,80.01,8.55
338,Talnakh,40,RU,1559845712,93,69.49,88.39,37.4,17.9
339,Kushima,87,JP,1559845713,90,31.5,131.29,75.99,2.59
340,Shingu,100,JP,1559845715,94,33.72,135.99,60.71,3.65
341,State College,40,US,1559845573,50,40.79,-77.86,82.99,9.17
342,Wilmington,40,US,1559845531,57,39.75,-75.55,86.0,9.17
343,Taoudenni,0,ML,1559845718,7,22.68,-3.98,106.43,10.25
344,Esperance,75,TT,1559845719,58,10.24,-61.45,89.01,16.11
345,Magadi,40,IN,1559845721,88,12.96,77.22,84.99,5.82
346,Bogande,81,BF,1559845722,20,12.97,-0.14,104.63,4.85
347,Hope,1,CA,1559845723,54,49.38,-121.43,59.0,9.17
348,Rome,0,IT,1559845546,73,41.89,12.48,75.0,6.93
349,Staraya Kulatka,1,RU,1559845726,82,52.73,47.62,63.95,7.87
350,Birkeland,75,NO,1559845727,100,58.33,8.23,59.0,5.82
351,Nautla,100,MX,1559845728,66,20.22,-96.78,88.61,8.03
352,Horsham,3,AU,1559845730,93,-36.71,142.2,46.31,2.98
353,Plettenberg Bay,2,ZA,1559845731,65,-34.05,23.37,48.83,3.71
354,Puerto del Rosario,40,ES,1559845732,46,28.5,-13.86,73.4,21.92
355,Lorengau,100,PG,1559845733,90,-2.02,147.27,78.35,5.68
356,Minnedosa,75,CA,1559845734,40,50.25,-99.84,73.4,11.41
357,Katangli,11,RU,1559845736,93,51.71,143.23,38.21,2.57
358,Hambantota,20,LK,1559845737,100,6.12,81.12,80.6,5.82
359,Peleduy,80,RU,1559845738,85,59.63,112.75,53.33,0.92
360,Jalu,0,LY,1559845739,16,29.03,21.55,91.49,9.71
361,Fort Nelson,75,CA,1559845740,65,58.81,-122.69,46.4,10.29
362,Saint-Joseph,0,FR,1559845742,60,43.56,6.97,73.4,3.36
363,Najran,20,SA,1559845743,15,17.54,44.22,87.8,4.7
364,Sebinkarahisar,14,TR,1559845744,94,40.29,38.42,51.89,3.47
365,Kodino,18,RU,1559845745,52,63.72,39.64,62.15,7.67
366,Qurbus,20,TN,1559845747,69,36.82,10.57,73.4,5.82
367,La Vega,75,DO,1559845748,55,19.22,-70.53,93.99,6.93
368,Fukue,75,JP,1559845749,78,35.03,136.69,73.4,8.05
369,Chimbote,9,PE,1559845751,91,-9.08,-78.59,62.87,15.3
370,Mogadishu,2,SO,1559845472,81,2.04,45.34,78.89,12.26
371,Abapo,0,BO,1559845753,25,-18.83,-63.47,87.17,11.79
372,Langsa,100,ID,1559845578,93,4.47,97.97,70.07,2.91
373,Dwarka,20,IN,1559845755,45,28.58,77.04,87.8,9.17
374,Yerbogachen,0,RU,1559845756,94,61.28,108.01,50.09,1.32
375,Tazovskiy,56,RU,1559845758,92,67.47,78.7,38.75,8.9
376,Dhidhdhoo,100,MV,1559845759,78,6.88,73.1,83.93,12.35
377,Karasburg,55,NA,1559845760,29,-28.01,18.75,56.39,13.33
378,Kavaratti,100,IN,1559845761,76,10.57,72.64,83.21,6.24
379,Manzhouli,88,CN,1559845762,70,49.6,117.43,55.49,11.86
380,Carbonia,5,IT,1559845729,58,39.17,8.53,82.4,6.93
381,Faya,40,SA,1559845765,14,18.39,42.45,78.8,10.29
382,Aguimes,20,ES,1559845766,49,27.91,-15.45,71.6,25.28
383,La Virginia,40,CO,1559845767,74,4.9,-75.88,78.8,2.24
384,Anloga,100,GH,1559845768,77,5.79,0.9,82.13,16.78
385,Talcahuano,20,CL,1559845599,62,-36.72,-73.12,59.0,12.75
386,Miquelon,90,PM,1559845771,100,47.1,-56.38,44.6,6.93
387,Meulaboh,100,ID,1559845772,77,4.14,96.13,81.23,7.4
388,Vitim,79,RU,1559845773,87,59.44,112.57,51.53,0.72
389,Timaru,25,NZ,1559845774,59,-44.39,171.25,42.01,10.18
390,Tondon,73,GN,1559845776,60,10.37,-13.36,87.71,6.35
391,Horta,20,ES,1559845777,68,41.43,2.16,69.01,8.05
392,Kolokani,47,ML,1559845778,12,13.58,-8.03,103.55,7.9
393,Lavrentiya,100,RU,1559845779,81,65.58,-170.99,47.75,2.26
394,Van Buren,20,US,1559845637,37,47.16,-67.94,72.0,5.82
395,Spring Hill,40,US,1559845599,55,28.46,-82.54,93.99,11.41
396,Pakaur,77,IN,1559845783,68,24.64,87.92,85.55,7.45
397,Orsha,29,BY,1559845784,85,54.51,30.43,67.55,7.61
398,Ndjole,50,GA,1559845785,83,-0.18,10.76,75.83,3.27
399,Russellville,90,US,1559845746,94,35.28,-93.13,75.99,5.82
400,Tymovskoye,0,RU,1559845788,95,50.85,142.66,40.55,2.73
401,Flin Flon,90,CA,1559845789,67,54.77,-101.88,59.0,3.36
402,Evensk,10,RU,1559845790,61,61.92,159.24,50.63,3.29
403,Ilave,0,PE,1559845791,12,-16.09,-69.64,53.87,9.8
404,Sayyan,4,YE,1559845793,39,15.17,44.32,80.15,3.71
405,Arlit,87,NE,1559845794,14,18.74,7.39,101.21,5.21
406,Batticaloa,98,LK,1559845795,91,7.71,81.69,78.53,0.56
407,Lompoc,90,US,1559845796,77,34.64,-120.46,64.4,5.82
408,Glace Bay,90,CA,1559845797,93,46.2,-59.96,60.01,23.04
409,Buala,100,SB,1559845799,82,-8.15,159.59,81.23,14.67
410,Pierre,1,US,1559845503,39,44.37,-100.35,84.2,14.99
411,Boueni,0,YT,1559845801,94,-12.9,45.08,75.2,4.7
412,Touros,20,BR,1559845802,58,-5.2,-35.46,86.0,13.87
413,Kaniama,50,CD,1559845803,32,-7.57,24.18,72.59,2.62
414,Nanortalik,86,GL,1559845805,62,60.14,-45.24,41.27,54.22
415,Comarapa,0,BO,1559845806,6,-17.91,-64.53,83.93,4.65
416,Sao Joao da Barra,75,BR,1559845807,64,-21.64,-41.05,75.2,4.7
417,Aquidauana,0,BR,1559845808,31,-20.47,-55.78,83.39,4.29
418,Ust-Tsilma,86,RU,1559845809,74,65.44,52.15,48.11,3.91
419,Araouane,0,ML,1559845811,6,18.9,-3.53,106.25,8.7
420,Kaka,13,TM,1559845812,21,37.35,59.62,89.33,4.38
421,Flinders,90,AU,1559845813,81,-34.58,150.85,60.01,5.82
422,Urucui,26,BR,1559845814,44,-7.23,-44.56,88.43,8.08
423,Hervey Bay,100,AU,1559845816,77,-25.3,152.85,59.0,6.93
424,Tazmalt,0,DZ,1559845817,78,36.39,4.4,73.4,8.05
425,Ati,70,TD,1559845818,27,13.21,18.34,101.21,6.73
426,Salta,0,AR,1559845688,38,-24.79,-65.41,77.0,8.14
427,Juneau,75,US,1559845652,76,58.3,-134.42,59.0,9.17
428,Pachino,0,IT,1559845666,64,36.72,15.09,75.2,4.7
429,Nioro,0,GM,1559845822,20,13.79,-15.05,100.31,12.06
430,Itoman,75,JP,1559845824,94,26.12,127.67,80.6,12.75
431,Port Augusta,0,AU,1559845825,73,-32.49,137.76,39.99,5.82
432,Panama City,75,US,1559845826,94,30.16,-85.65,75.99,10.29
433,Mitsamiouli,18,KM,1559845827,74,-11.38,43.28,80.51,13.87
434,Saint Augustine,75,TT,1559845829,58,10.65,-61.4,89.01,16.11
435,Burias,45,PH,1559845830,85,11.45,122.55,79.25,1.32
436,Cayenne,1,GF,1559845831,70,4.94,-52.33,86.0,6.93
437,Lifford,75,IE,1559845832,82,54.83,-7.48,55.4,11.41
438,Villa Corzo,20,MX,1559845834,46,16.19,-93.27,89.6,3.36
439,Kuito,0,AO,1559845835,44,-12.38,16.94,57.47,2.48
440,Port Hawkesbury,90,CA,1559845836,100,45.62,-61.36,59.0,13.87
441,Camacha,20,PT,1559845837,64,33.08,-16.33,69.8,16.11
442,Egvekinot,100,RU,1559845839,93,66.32,-179.17,41.27,7.05
443,Salisbury,29,GB,1559845840,47,51.07,-1.8,62.6,10.29
444,Grand Gaube,40,MU,1559845841,78,-20.01,57.66,75.2,17.22
445,Kruisfontein,0,ZA,1559845842,68,-34.0,24.73,47.75,7.65
446,Valparaiso,1,US,1559845843,48,41.47,-87.06,84.0,3.36
447,Houston,1,US,1559845603,62,29.76,-95.37,93.99,4.7
448,Naze,99,NG,1559845846,96,5.43,7.07,74.03,3.44
449,Vardo,40,US,1559845847,51,39.62,-77.74,86.0,13.87
450,Chapais,1,CA,1559845848,35,49.78,-74.86,57.2,11.41
451,Vinh,69,VN,1559845849,67,18.67,105.69,83.03,3.6
452,Mildura,0,AU,1559845850,100,-34.18,142.16,42.01,4.7
453,Ambulu,81,ID,1559845852,85,-8.35,113.61,78.53,9.53
454,San-Pedro,83,CI,1559845853,89,4.75,-6.64,77.63,5.01
455,Menongue,0,AO,1559845854,34,-14.66,17.68,60.53,4.05
456,Alofi,3,NU,1559845855,100,-19.06,-169.92,69.8,11.27
457,Cam Ranh,20,VN,1559845856,83,11.92,109.15,82.4,4.7
458,Fortuna,40,ES,1559845858,73,38.18,-1.13,78.01,6.93
459,Tevriz,100,RU,1559845859,97,57.51,72.4,55.85,1.81
460,Las Choapas,5,MX,1559845860,41,17.91,-94.09,96.8,5.82
461,Groningen,35,NL,1559845818,67,53.22,6.57,64.99,5.82
462,Gouyave,40,GD,1559845862,70,12.16,-61.73,86.0,16.11
463,Havre-Saint-Pierre,1,CA,1559845864,58,50.23,-63.6,59.0,11.41
464,Iglino,75,RU,1559845865,87,54.82,56.41,57.2,11.18
465,Cockburn Town,23,TC,1559845866,77,21.46,-71.14,82.13,9.13
466,Liling,90,CN,1559845867,94,27.65,113.49,75.2,4.47
467,Tura,61,IN,1559845868,80,25.52,90.21,80.33,4.88
468,Progreso,75,UY,1559845870,64,-34.68,-56.22,70.0,13.87
469,Knysna,0,ZA,1559845871,70,-34.04,23.05,44.6,5.82
470,Manokwari,64,ID,1559845872,72,-0.87,134.08,74.75,5.23
471,Erzin,0,TR,1559845873,44,36.95,36.2,77.0,14.99
472,Linjiang,99,CN,1559845874,68,41.81,126.91,54.77,2.55
473,Tezu,100,IN,1559845876,64,27.93,96.16,78.71,3.04
474,Saint Anthony,40,US,1559845877,36,43.97,-111.68,75.2,16.11
475,Palmer,0,AU,1559845878,93,-34.85,139.16,44.01,3.36
476,Qasigiannguit,75,GL,1559845879,67,68.82,-51.19,46.4,5.82
477,Kaura Namoda,100,NG,1559845881,24,12.59,6.58,99.41,1.25
478,Bima,83,ID,1559845882,97,-8.45,118.73,70.07,2.1
479,Bogashevo,0,RU,1559845883,48,56.37,85.14,68.0,8.95
480,Davidson,1,US,1559845770,57,35.5,-80.85,86.0,11.41
481,Hay River,75,CA,1559845885,75,60.82,-115.79,41.0,3.36
482,Kieta,88,PG,1559845887,70,-6.22,155.63,83.57,6.31
483,Umm Kaddadah,6,SD,1559845888,26,13.6,26.69,95.09,9.84
484,Buin,75,CL,1559845889,76,-33.73,-70.74,66.99,8.05
485,Chunhuhub,74,MX,1559845890,44,19.59,-88.59,95.63,5.99
486,Necochea,100,AR,1559845833,66,-38.55,-58.74,63.59,8.16
487,Praia da Vitoria,75,PT,1559845893,82,38.73,-27.07,66.0,12.73
488,San Patricio,56,PY,1559845894,62,-26.98,-56.83,72.59,9.86
489,Soyo,20,AO,1559845895,78,-6.13,12.37,78.8,5.82
490,Sangar,1,RU,1559845896,66,63.92,127.47,49.91,2.13
491,Edwardsville,90,US,1559845897,78,38.81,-89.95,82.99,4.7
492,Vestmannaeyjar,0,IS,1559845899,62,63.44,-20.27,51.8,12.75
493,Saint-Georges,0,CA,1559845740,46,46.12,-70.67,70.0,7.0
494,Bemidji,1,US,1559845901,30,47.48,-94.89,84.0,13.87
495,Turinsk,93,RU,1559845903,90,58.04,63.7,53.69,11.68
496,Luanda,20,AO,1559845904,73,-8.83,13.24,75.2,6.93
497,Cidreira,37,BR,1559845905,63,-30.17,-50.22,72.23,9.57
498,Zeven,20,DE,1559845906,63,53.3,9.28,64.0,10.29
499,Alenquer,20,BR,1559845907,74,-1.95,-54.74,86.0,10.29
500,Dehloran,0,IR,1559845909,9,32.69,47.27,90.23,3.36
501,Narasannapeta,99,IN,1559845910,82,18.42,84.04,85.19,10.09
502,Bangalore,40,IN,1559845711,88,12.98,77.6,84.99,5.82
503,Karatuzskoye,10,RU,1559845912,56,53.61,92.87,55.49,3.8
504,Mehamn,90,NO,1559845913,93,71.03,27.85,42.8,13.87
505,Acari,48,BR,1559845914,31,-6.44,-36.64,91.49,16.13
506,Tubuala,75,PA,1559845916,74,9.52,-79.03,88.0,10.29
507,Eureka,40,US,1559845823,71,40.8,-124.16,59.0,14.99
508,Sabha,64,LY,1559845918,13,27.03,14.43,96.89,10.63
509,Great Yarmouth,20,GB,1559845919,42,52.61,1.73,66.99,11.41
510,Burgersdorp,0,ZA,1559845920,51,-30.99,26.32,43.25,5.97
511,Lincoln,0,GB,1559845646,39,53.23,-0.54,66.2,13.87
512,Ambovombe,0,MG,1559845923,79,-25.18,46.09,75.11,15.14
513,Puerto Palomas,1,US,1559845924,14,31.78,-107.63,87.8,4.7
514,Sistranda,75,NO,1559845925,82,63.73,8.83,69.01,4.7
515,Quimper,0,FR,1559845678,87,48.0,-4.1,61.0,5.82
516,Rome,0,IT,1559845838,73,41.89,12.48,75.0,6.93
517,Paita,0,PE,1559845929,290,-5.09,-81.11,62.6,14.99
518,Moju,40,BR,1559845930,79,-1.89,-48.77,84.2,8.05
519,Gull Lake,75,CA,1559845931,35,50.1,-108.48,69.8,9.17
520,Muros,75,ES,1559845933,93,42.77,-9.06,57.99,11.41
521,Kailua,75,US,1559845934,78,21.39,-157.74,80.01,13.87
522,Klyuchi,24,RU,1559845935,40,52.25,79.17,61.61,10.07
523,Cravo Norte,98,CO,1559845936,87,6.3,-70.2,77.63,4.05
524,Faro,20,PT,1559845937,68,37.02,-7.94,66.2,19.46
525,Contamana,0,PE,1559845939,38,-7.35,-75.01,90.05,4.09
526,Srednekolymsk,80,RU,1559845940,43,67.46,153.71,43.61,2.1
527,Rocha,48,UY,1559845941,64,-34.48,-54.34,66.83,13.24
528,Calvia,0,ES,1559845942,53,39.57,2.51,75.2,10.29
529,Chachapoyas,1,PE,1559845943,30,-6.23,-77.87,69.17,7.02
530,Cedar City,1,US,1559845802,23,37.68,-113.06,82.4,13.87
531,Kankon,40,IN,1559845946,89,15.02,74.02,84.2,5.82
532,Cabo San Lucas,5,MX,1559845924,60,22.89,-109.91,86.0,19.46
533,Sinnamary,5,GF,1559845948,76,5.38,-52.96,83.39,11.18
534,Taldan,0,RU,1559845949,85,53.69,124.82,51.35,1.77
535,Nemuro,1,JP,1559845951,88,43.32,145.57,47.03,4.65
536,Oschersleben,20,DE,1559845952,63,52.03,11.25,66.0,9.17
537,Alta,75,NO,1559845745,87,69.97,23.27,51.8,9.17
538,Trairi,55,BR,1559845730,69,-3.28,-39.27,83.93,6.22
539,Lovozero,25,RU,1559845955,76,68.01,35.02,58.37,14.58
540,Dawei,100,MM,1559845956,74,14.07,98.19,84.29,2.08
541,Yumen,21,CN,1559845957,24,40.29,97.04,72.05,4.68
542,Hami,2,CN,1559845959,18,42.84,93.51,79.61,7.36
543,Beira,40,ES,1559845960,71,43.2,-8.36,57.0,20.8
544,Nueva Loja,75,EC,1559845961,83,0.08,-76.88,82.4,4.7
545,Swan Hill,0,AU,1559845962,92,-35.34,143.56,46.67,5.53
546,Pemberton,100,AU,1559845963,90,-34.44,116.03,53.01,11.99
547,College,40,US,1559845758,67,64.86,-147.8,62.01,2.64
548,Toora-Khem,29,RU,1559845966,56,52.47,96.11,44.51,1.57
549,Pathanamthitta,100,IN,1559845967,90,9.27,76.79,79.07,2.64
550,Ust-Kuyga,0,RU,1559845968,58,70.0,135.55,38.21,5.95
551,Det Udom,0,TH,1559845969,88,14.9,105.08,88.0,3.36
552,Serenje,0,ZM,1559845970,76,-13.23,30.22,56.03,2.73
553,Mnogovershinnyy,0,RU,1559845972,91,53.94,139.92,40.73,2.13
554,Zapolyarnyy,20,RU,1559845973,66,69.43,30.82,55.4,24.16
